lyric,genre,emotion_4Q,sentiment,sentiment_score,emotion_NRC
love like oh love like love like love like baby dubb love llll myblock love llll deitrick love llll big rue love llll mary mary givin honor first pastor church yeah folk friend listen word see god saved yeah no one else around grace grace mercy favor know not deserve love show oh let know oh never going leave side love like love like love like love like love like love like deitrick see got testimony saved soul soul sinner left cold cold gave second chance saved came rescue needed help want know love like like enemy said took bottom put top laid hand not stopped love like love like love like love like mymymy love like love like love like love like love like love like love like somebody told overcome testimony bet would not believe doubt fear used paralyze god hand led test brought very best never forget tell world mean love like yeah yeah yeah love like let tell love love like said let tell love good yeah love like take care yeah love like keep loving yeah love like yeah love aight love right love like love like hey love like love like love like hey love like love like love llll hey love llll hey love llll woo love like love like love like oh love like love like love like love llll yeah love llll haha love llll love llll woo,,happy,positive,0.625,trust|joy
no darkness tonight baby love shine put trust heart meet paradise boy every wonder world treasure time steal away listen heart lay body close mine let feel dream make feel alright baby year going love more day promise tonight always lady life lay back tenderness let u make night not forget oh need sweet caress reach fantasy two heart beat ecstasy come boy keep warm shadow night let touch love make feel right baby year even old gray love more day always lady always lady life always lady life stay always lady life want stay always lady life need side always lady life oh yeah baby always lady life love yes always lady life need baby always lady life more ever know always lady life love baby always lady life got let show always lady life love baby always lady life need baby always lady life not see love boy not see love baby always lady life always lady life always lady life,,happy,positive,0.75,joy|trust
baby wrapped arm never rain prayin more more more every day oh baby flyin high no one deny not tell look eye got love got got baby got more money everything man dreamin oh got love baby got love oh yeah know love see smile oh done done make worthwhile oh baby desire slightest touch slightest touch soul fire got love baby got got got more money everything man dreamin oh got love baby got love storm going rise wind going blow not no need worry long know long know got love baby got got whole got more money everything man dreamin oh got love baby got love new around not let nothing nothing shake love found got love baby got love yeah yeah love baby got love know got got got got love soon need little bit love baby got got love oh love oh love,,happy,positive,0.625,joy|anger
love eye close whenever kiss away love miss love way always treat tenderly darling most love love love love love heart beat whenever hold love think without told love way touch always heavenly darling most love love love love love eye close whenever kiss away love miss love way touch always heavenly darling most love love love love love hug love hug love squeeze tease please love love love love,,happy,positive,0.75,joy|trust
messed dirty could way hell heard preacher preaching word god confess sin repent came jesus weary worn sad found resting place made made glad asked lord could love sinned said repent forgive question serve might dirty messed inside may even lost live not discouraged not throw towel confess sin repent like weary jesus,,sad,positive,0.5263,trust|sadness
give love saw love would love love yeah give everything tenderly kiss lover brings brings love love like could never die long near bright star shine dark sky know love mine never die love bright star shine ooh star shine dark sky sky sky know love mine never die never die love love love love whoa love love love yeah give love whoa love love love give everything whoa love love love,,happy,positive,0.8571,anticipation|joy
not try explain mind know happenin one minute love suddenly like battlefield one word turn war smallest thing tear u world nothing gone without shield not go back hand tied behind back nothing oh no time climb fast fall got fall never meant start war know never want hurt not even know fighting love always feel like battlefield ohoh battlefield ohoh battlefield ohoh love always feel like battlefield ohoh battlefield ohoh battlefield ohoh love always feel like not swallow pride neither u want raise flag mm not surrender going lose oh no hand tied behind back nothing nothing oh no time climb fast fall not want fall never meant start war know never want hurt not even know fighting love always feel like battlefield ohoh battlefield ohoh battlefield ohoh love always feel like battlefield ohoh battlefield ohoh battlefield ohoh guess would better go get armor get armor get armor get armor guess would better go get armor get armor get armor get armor guess would better go get could pretend friend tonight oh morning would wake would alright baby not fight not want love feel like battlefield oh battlefield oh battlefield oh love always feel like battlefield oh battlefield oh battlefield oh guess would better go get armor never meant start war start war know never want hurt not even know fighting fighting love always feel like battlefield ohohoh battlefield ohohoh battlefield ohohoh love always feel like battlefield ohohoh battlefield ohohoh battlefield ohohoh guess would better go get armor get armor yeah get armor get armor guess would better go get armor get armor get armor get armor love always feel like whoaohoh ohohoh whoaohoh ohohoh love always feel like whoaohoh ohohoh battlefield battlefield whoaohoh ohohoh never meant start war whoaohoh ohohoh not even know fighting whoaohoh ohohohoh never meant start war whoaohoh ohohoh not even know fighting whoaohoh ohohohoh hey whoaohoh ohohohoh,Pop,angry,negative,0.5625,fear|trust
life fair let go push good got cherry bomb blow cherry bomb lost long ago know way back spirit bar brush teeth bed blow cherry bomb blow cherry bomb got know sleeve know sleeve know sleeve come come longest day would ever known watched start drive alone blow cherry bomb going burn right sleeve burn right sleeve go dressing gown get bed blow cherry bomb oh life could fair let go could pay hand cherry bomb oh life could fair let go could pay hand cherry bomb,Rock,angry,positive,0.7143,anticipation|sadness
oh peace god reign spirit calling free heart heavy weighted know presence always around repeat time ooh mmmmmm peace god surpasses understanding peace god supasses understanding repeat time,,relaxed,positive,1.0,anticipation|trust
let start sayin one first time felt like playas done oh number dial fuck chick sex gettin not trip not matter winning not matter not get one ama good one girl one girl need ama straight one crib two whip grown need one ghetto girl make baby one ghetto girl shakin chick one knee one ring baby need one not nothing going stop loving wifin spendin life baby committed one one damn good sex want without no hat imagine got real nigga gon back imagine way gon go gon one ama good one girl one girl need ama straight one crib two whip grown need one ghetto girl make baby one ghetto girl shakin chick one knee one ring baby need one girl not going front got tell truth way gone way gone not nothing not give make one baby one girl one step one girl one love one name said one knee one ring one church one preacher one promise two little word ama good one girl one girl need ama straight one crib two whip grown need one ghetto girl make baby one ghetto girl shakin chick one knee one ring baby need one one one girl one girl baby need one one girl one girl baby need one one one ring one church,,relaxed,positive,0.8,trust|joy
cloud cliff cloud cliff cloud cliff love move abyss time go starting fly fly see hand go waving goodbye bye ooh know get forgetful look eye walking backwards walking backwards parade rade stuck shadow stuck shadow blocking shade shade ooh not no way sweep mess made get dressed like pillow always bed flower sick dead go way fast way slow turn stone hospital funeral home fog rise somebody sigh not disguise anymore nothing keep nothing keep falling love love start bottom start bottom come bove ooh like piece puzzle like hand glove get dressed like pillow always bed flower sick dead go way fast way slow turn stop hospital funeral home tide rise somebody sink gone blink eye woo woo somebody sink gone blink eye,,sad,negative,0.7273,sadness|fear
love many time everyone loved walked right door never knew would find someone like take hand help stand never knew would find someone chorus give unconditional love repeat time vamp love right hold tight lord love lord love,,happy,positive,0.75,disgust|trust
tonight tonight tonight lovely feeling music appealing steppin love baby start dancin begin romancin steppin love baby steppin love tonight steppin love music thrilling willing steppin love baby every beat love song nothing go wrong steppin love baby steppin love tonight steppin love every night go dance chance increase romance know every beat love steppin love steppin love every night go dance chance increase romance know every beat love steppin love tonight tonight tonight beat gettin stronger dance little longer steppin love baby steppin small way say love always steppin love baby steppin love tonight steppin love whoa tonight every night go dance chance increase romance know every beat love steppin love tonight tonight tonight night,,happy,positive,0.75,joy|surprise
darkness bottom hole didnt dig darkness bottom hole not dig yeah im knee begging please lord save losing leaf wondering going leaf wondering going everbodys talking nobody listening darkness bottom hole didnt dig darkness bottom hole not dig yeah im knee crawling mud like pig hearing believing tell need know hearing believing tell need know yeah everybodys pushing aint got nowhere go nowhere go nowhere go darkness bottom whole lot misery darkness bottom whole lot misery yeah ive seen blood turn water whole lotta low greed whole lotta low greed,,sad,negative,0.7692,sadness|anger
oohoohooh oohoohooh oohoohooh oohoohooh ooh storm threatening very life today not get shelter ooh yeah going fade away war child shot away shot away war child shot away shot away yeah ooh see fire sweepin very street today burn like redcoal carpet mad bull lost way war child yeah shot away shot away war child yeah shot away shot away rape murder shot away shot away rape murder yeah shot away shot away rape murder whoo shot away shot away yeah mmm flood threatening very life today give give shelter going fade away war child shot away shot away shot away shot away shot away tell love sister kiss away kiss away kiss away kiss away kiss away kiss away kiss away,Rock,angry,negative,0.6923,fear|anger
well never kept dollar past sunset always burned hole pant never made school mama happy never blew second chance oh no need love keep happy need love keep happy baby baby keep happy baby baby keep happy always took candy stranger not want get no trade never want like papa working bos every night day need love keep happy need love baby not keep happy baby not keep happy happy baby please keep need love keep happy need love keep happy baby baby keep happy baby never got flash cocktail got flesh bone never got lift lear jet fly way back home need love keep happy need love keep happy baby baby keep happy baby baby keep happy baby happy baby not keep happy baby not keep happy baby not keep happy baby not keep happy baby not keep happy oh keep oh baby keep happy baby not keep happy baby got feeling happy happy come keep happy keep baby keep happy,Rock,happy,positive,0.75,joy|trust
want go home want go home oh want go home last night went sleep detroit city dreamed cottonfields home dreamed mother dear old papa sister brother dreamed girl waiting long want go home want go home oh want go home homefolk think big detroit city letter write think fine day make car night make bar could read line know rode freight train north detroit city year find wastin time think take foolish pride put southbound freight ride go back loved one one left waitin far behind want go home want go home oh want go home,Country,relaxed,positive,0.6667,anticipation|trust
got no reason going home reason gone got no one talk even though know ought got no reason going home every reason man could want going home making love not end night sitting thinking missing hurting drinking got no reason going home reason gone got no one talk even though know ought got no reason going home hard knowing another knowing love end night sitting thinking missing hating drinking got no reason going home reason gone got no one talk even though know ought got no reason going home,,relaxed,negative,0.5,anger|fear
let u not worry brother world must find peace must find together not far away heart got good vibration let heart follow rhythm voice give emotion fulfill peace butterfly dance sky want sing like got good sensation got good sensation got good vibration got good vibration let u not worry brother world must find peace must find together not far away heart got good vibration got good vibration got good vibration,,relaxed,positive,0.8889,trust|joy
melody melody second name melody melody second name melody melody second name melody melody second name came home one morning quarter three banging door lost key open baby got someone else inside going come get dead alive melody melody second name melody melody second name melody melody second name melody melody second name took dancing drank away cash said going fix face not worry back looking high low like mustard ham crashed bathroom arm best friend melody melody second name melody melody second name melody melody second name melody melody second name melody melody second name melody melody second name one day left took everything moved car took trailer home took sunday boot nose trail going catch surprise going pleasure roast child alive whati say second name melody melody second name melody melody second name melody melody second name melody melody second name second name second name melody second name melody second name sweet sweet sweet baby baby baby baby baby melody melody melody second name melody melody second name melody,Rock,relaxed,positive,0.7778,joy|anticipation
want always want always plan fall changing hand chance winning hold heart not let caught touch turn fisticuffs head wonder fixed cut fake statistic collected whole hunger keep climbing wall one thing count end floating away end floating away hold heart not let caught touch turn fisticuffs head wonder fixed cut fall fall fall fall fall fall fall fall sinking say finished say buried say killer killing fate,Pop,sad,negative,0.7143,sadness|trust
cloud dust raining u phantom bed love home home naturally collapsing home bed wedding ring home home home home home home cloud dust raining u phantom bed love home home,Pop,relaxed,negative,0.6667,joy|fear
love love promised love love promised said could loving wanted would give real nitty gritty hiding love woohoo love love promised got know love love promised said would one would giving sweet love somebody else must getting love loving not no no love love promised know need baby love love promised waiting love baby love hurting love baby love baby baby baby baby baby baby oh love love love promised got know love love promised not tell back promising baby got know need know want got baby ohhoho hey hey baby love got know love told going give love love woooohhoo love said mine got know hey got know got know ho ho ho hey hey hey yeah whoahohooh love said going give howhoawhoa hey hey hey want need got woohoohoo hey hey yeah hey,,happy,positive,0.875,joy|trust
not alone lonely song not sung two broken home broken heart isolated afraid open raid want get not alone not alone every night stand place every tear every face taste broken dream broken heart isolated afraid open raid going get not alone open hand open heart no need afraid open raid want get not alone want get not alone going get not alone,,angry,negative,1.0,fear|anger
tell going going give love going love night day well love love not fade away oh well love love not fade away love bigger cadillac try show driving back love got real know feel love real not fade away well love real not fade away yeah going tell going going give love love last more one day well love love not fade away well love love not fade away well love love not fade away love love not fade away,Rock,happy,positive,0.6667,trust|joy
may not always love long star never need doubt make sure god know would without ever leave well life would still go believe world could show nothing good would living god know would without ooh ooh bow buhbow buhbow buhbow buhbow buhbow buhbow buhbow buhbow buhbow buhbow god know would without ever leave well life would still go believe world could show nothing good would living god know would without god know would without god know would without god know would without would god know would without god know god know would without would god know would without god know god know would without would god know would without god know god know would without would god know would without god know god know would without would god know would without god know,Rock,happy,positive,0.6667,trust|anticipation
ready place inside mind place like hide not know chance die place inside brain another kind pain not know chance blind blind blind another place find escape pain inside not know chance die place inside brain another kind pain not know chance blind blind blind deeper deeper deeper dream live life seems lost reality never find way reach inner selfesteem low deep go ground lay not find way see gray cloud mind time look see line see see going blind see see going blind see see going blind see see going blind see see going blind see see going blind see see going blind see see going blind see see going blind see going see see going blind going blind see see going blind see see going blind blind blind blind blind,Metal,sad,negative,0.6667,fear|sadness
more inspect more see reflect more try read lip more mask wearing rip seek voice ear overcome noise show tell greatest ease raving impossibility engaged crime grasp throat enraged mind start smoke enforce mental overload angry angry angry ow story take twist fold like contortionist slight hand quick exchange old trick rearranged engaged crime grasp throat enraged mind start smoke enforce mental overload angry angry angry searing sinew body fight air ripping tissue lung begin tear gravity got bone pull flesh away steam finally dissipates make sweaty face association choose game inevitably lose governed law set fracture jaw let cutout cardboard condo maze filled insubordinate race irrational youth stop stare music rubber hosed air engaged crime grasp throat enraged mind start smoke enforce mental overload angry angry angry engaged crime grasp throat enraged mind start smoke enforce mental overload angry angry angry ow,Metal,angry,negative,0.5789,anger|trust
kill beat people seem think always know best little mind try create world keep still bolt thrown cage locked saw not lie first cry hate people stole told maybe let might dead cold might full doubt not try escape not nowhere go nothing fate no scenario no nothing call name stain brain eye blurry not see anymore call name breed pain heart bloody not take anymore sit stuck afraid risk reality afraid cause more pain face insanity nothing ventured nothing gained see fear cage beg help alone stuck helpless rage told maybe let might dead cold might full doubt not try escape not nowhere go nothing fate no scenario see please let petrified told maybe let might dead cold might full doubt not try escape not nowhere go nothing fate no scenario cmon call name stain brain eye blurry not see anymore call name breed pain heart bloody not take anymore call name stain brain eye blurry not see anymore call name breed pain heart bloody not take anymore,Rock,angry,negative,0.8636,fear|sadness
ever feel like dying ever feel alone ever feel like cry lost child store ever feel life pushing shoving away ever feel like breaking funeral rain feel like slipping away stand corner scream body full empty head full rage better believe stand closet scream mind like fire driven pain better believe ever feel like lying inside grave listen eulogy buyer hate ever dance beside devil taste barrel gauge ever pull trigger light begin fade feel like slipping away stand corner scream body full empty head full rage better believe stand closet scream mind like fire driven pain better believe asked forgiveness asked grace asked blessing asked saved stand corner scream body full empty head full rage better believe stand corner scream body full empty head full rage better believe stand closet scream mind like fire driven pain better believe stand corner scream body full empty head full rage better believe stand closet scream mind like fire driven pain better believe,Metal,angry,negative,0.6111,sadness|fear
alright dirthouse watch happen box mind wanders dirty dirty word dirthouse come look eye feel skin dirt drive wild remember blew mind cut living dirt dog curled little ball dog freezing ass go go go pick piece want call home go go go pick piece got pain go go go pick piece want call home go go go pick piece got pain open box see inside make call sick tear pushing every nerve scare hope not get burnt look closer look dirty mind feeling sick inside blood turned fucking dirt go go go pick piece want call home go go go pick piece got pain go go go pick piece want call home go go go pick piece got pain,Metal,sad,negative,0.6667,disgust|anticipation
sleep dream death angel kiss brings final bliss completely empty say death not let stay empty say death hear call name ooh call name suicide already died funeral waiting cyanide living dead inside break empty forevermore wait wait patiently deathblack wing unfolding sleep spreading empty say death not let stay empty say death hear call name ooh call name suicide already died funeral waiting cyanide living dead inside break empty forevermore say rain tear stained concrete face year cry weeping shedding strife year year life life air freshly broken ground concrete angel laid right upon grave swallow fast peace last oh peace last mm empty say death not let stay empty say death hear call name call name suicide already died funeral waiting cyanide living dead inside break empty forevermore forevermore forevermore funeral waiting,Metal,sad,negative,0.6154,sadness|anticipation
sit around watch tube nothing change channel hour two twiddle thumb bit sick old shit house unlocked door fuckin lazy bite lip close eye take away paradise damn bored going blind smell like shit peel velcro seat get movin sure hell not feelin like dog heat barred indoors summer street locked door cell lost key bite lip close eye take away paradise damn bored going blind smell like shit got no motivation motivation no time motivation smoking inspiration huh sit around watch phone no one callin call pathetic call mother say get job not like one got masturbation lost fun fuckin lonely suh bite lip close eye take away paradise damn bored going blind loneliness suffice bite lip close eye slippin away paradise asome say quit go blind myth,Rock,sad,negative,0.7778,disgust|sadness
rape rape friend rape rape not one ah not one ah not one ah not one hate waste rape friend not one ah not one ah not one ah not one favorite inside source kiss open sore appreciate concern going stink burn rape rape friend rape rape not one ah not one ah not one ah not one rape rape rape rape rape rape rape rape rape rape rape rape rape rape rape rape rape,Rock,angry,negative,0.625,disgust|joy
sweet dream made disagree travel world seven sea everybodys looking something want use want get used want abuse want abused sweet dream made disagree travel world seven sea everybodys looking something want use want get used want abuse want abused want use abuse want know inside movin hold head movin keep head movin hold head movin keep head movin hold head movin keep head movin sweet dream made disagree travel world seven sea everybodys looking something want use want get used want abuse want abused going use abuse going know inside going use abuse going know inside,,angry,negative,0.5,anger|disgust
take away feel take away feel promise made made vain lost inside tainted smile not feel anger not feel pain not feel torment driving insane not fight feeling bring pain not take away make whole feel betrayed stuck way rip apart brutal thing say not deal shit anymore look away not feel anger not feel pain not feel torment driving insane not fight feeling bring pain not take away make whole mudshovel mudshovel mudshovel mudshovel mudshovel mudshovel mudshovel mudshovel take away feel promise promised pain take away leave nothing not feel anger not feel pain not feel torment driving insane not fight feeling bring pain not take away make whole feel anger feel pain feel torment driving insane not fight feeling bring pain not take away whole mudshovel mudshovel mudshovel mudshovel mudshovel mudshovel mudshovel mudshovel,Rock,angry,negative,0.7143,anger|fear
ever word spoken painful untrue said loved lied life wanted keeping someone like turn deeper within love twisted pointed neverending pain quickly ending life keep love thing love child love toy keep love fist love scar love break keep love love love keep love love love keep love would tempting one stole gift pain pain life sometimes feel sorry regret hurting made unhappy would take life leave love would kill would kill keep love thing love child love toy keep love fist love scar love break keep love love love keep love love love keep love no more head trip oh no keep love thing love child love toy keep love fist love scar love break keep love love love keep love love love keep love oh keep love keep love keep love keep love ohoh hope,Metal,happy,negative,0.6429,sadness|surprise
liked hurt send pain need used beg take care thing smile thought failing long hurt would send pain would send pain much like suffocating much like suffocating much like suffocating would send pain much like suffocating would send pain used run away laughing cry fact til returned long hurt would send pain would send pain much like suffocating much like suffocating much like suffocating would send pain much like suffocating would send pain much like suffocating not feel chest need more drop closing not feel chest drop liked hurt send pain send pain much like suffocating liked send pain much like suffocating hurt send pain much like suffocating send pain much like suffocating send pain,Rock,angry,negative,0.75,sadness|fear
life suffocates planting seed hate loved turned hate trapped far beyond fate give take life forsake cheated youth turned lie truth anger misery suffer unto harvester sorrow language mad harvester sorrow pure black looking clear work done soon try getting back get back used drink shoot let beating begin distributor pain loss becomes gain anger misery suffer unto harvester sorrow language mad harvester sorrow said prayer invade nightmare see eye find murder lie infanticide harvester sorrow language mad harvester sorrow language mad harvester sorrow harvester sorrow harvester sorrow harvester sorrow harvester sorrow harvester sorrow,Metal,angry,negative,0.85,fear|anger
