term,valence
benign,0.694
bequeath,0.743
bequest,0.661
beret,0.542
bergamot,0.51
berlin,0.592
bestdayever,0.76
bestfeeling,0.806
bestfriends,0.934
besties,0.888
bestow,0.656
bestseller,0.771
beta,0.71
betrothed,0.833
betterment,0.898
betty,0.542
bevel,0.757
beverage,0.635
bible,0.719
biblical,0.635
bibliography,0.622
bicentennial,0.541
biceps,0.592
bicolor,0.58
bicycle,0.708
bid,0.76
bidding,0.586
biennial,0.531
big,0.802
bigday,0.796
biggie,0.531
bike,0.708
biker,0.604
bikini,0.73
bilateral,0.633
bilingual,0.735
billboard,0.594
billiard,0.719
billiards,0.643
billion,0.719
billionaire,0.806
bindery,0.548
bing,0.573
bingo,0.735
binocular,0.531
binomial,0.6
bio,0.612
biochemistry,0.552
biogenesis,0.594
biographer,0.708
biography,0.698
biological,0.59
biologist,0.625
bionic,0.571
biosphere,0.684
birch,0.562
bird,0.729
birdie,0.594
birth,0.896
birthday,0.969
birthing,0.796
birthmark,0.63
birthplace,0.781
birthright,0.684
biscuit,0.888
bishop,0.594
bison,0.573
bisque,0.693
bistro,0.594
bitsy,0.51
biweekly,0.581
biz,0.5
blackberry,0.667
blackbird,0.52
blameless,0.759
blank,0.531
blanket,0.74
blaze,0.698
blazer,0.635
blazing,0.594
blender,0.602
blending,0.56
bless,0.929
blessed,0.91
blessing,0.929
blessings,0.929
blimp,0.6
blink,0.552
blip,0.529
bliss,0.816
blissful,0.885
blob,0.5
blockbuster,0.73
blog,0.639
blond,0.59
blonde,0.698
bloodline,0.51
bloodstream,0.552
bloom,0.816
bloomers,0.521
blooming,0.86
blossom,0.792
blouse,0.58
blower,0.564
blowing,0.521
blowtorch,0.52
blue,0.646
blue spruce,0.559
blueberry,0.656
bluebird,0.573
bluegrass,0.573
bluejay,0.635
bluish,0.604
blunt,0.551
blush,0.698
blushing,0.51
board,0.592
board game,0.711
boarder,0.604
boarding,0.531
boardroom,0.555
boardwalk,0.643
boast,0.52
boat,0.516
boathouse,0.592
boating,0.638
boatman,0.592
bobcat,0.562
bobsled,0.667
bodega,0.573
bodily,0.594
body,0.694
bodyguard,0.51
bohemian,0.622
boiler,0.561
boldness,0.806
bolster,0.708
bonanza,0.875
bonbon,0.865
bond,0.667
bonding,0.594
bonds,0.74
bonny,0.561
bonsai,0.714
bonus,0.857
boob,0.694
boogie,0.59
book,0.802
bookcase,0.553
booking,0.708
bookish,0.604
bookkeeping,0.52
booklet,0.51
bookmaker,0.583
bookmark,0.543
books,0.729
bookseller,0.583
bookshop,0.688
bookstore,0.771
bookworm,0.563
boom,0.604
boomerang,0.531
booming,0.688
boon,0.878
boost,0.865
booster,0.755
booth,0.531
boots,0.602
booty,0.663
bordering,0.643
boreal,0.582
born,0.865
bosom,0.612
boston,0.643
botanical,0.66
botanist,0.651
botany,0.604
bouncy,0.562
boundary,0.561
boundless,0.684
bountiful,0.854
bounty,0.76
bouquet,0.724
bourbon,0.602
bourse,0.53
boutique,0.745
bouttime,0.588
bow,0.53
bowl,0.625
bowler,0.552
bowling,0.656
bowls,0.551
box,0.5
boy,0.646
boyfriend,0.781
boyhood,0.729
boyish,0.698
boysenberry,0.646
bra,0.672
brace,0.61
bracelet,0.776
braces,0.5
brackets,0.573
brain,0.667
brains,0.663
brainstorm,0.794
brainy,0.708
bran,0.688
branch,0.538
branching,0.52
brand,0.562
brandy,0.6
brass,0.5
brassiere,0.51
bratwurst,0.51
brave,0.837
bravery,0.898
bread,0.66
breadth,0.667
break,0.61
breakfast,0.885
breakingnews,0.5
breakthrough,0.68
breast,0.753
breath,0.684
breathe,0.833
breather,0.624
breathtaking,0.936
breech,0.5
breeder,0.645
breeding,0.667
breeze,0.837
breezy,0.531
brethren,0.917
breve,0.535
brew,0.74
brewery,0.71
brewing,0.74
bridal,0.823
bride,0.84
bridegroom,0.809
bridesmaid,0.748
bridge,0.625
briefcase,0.542
briefing,0.612
briefly,0.686
brig,0.573
brigade,0.604
bright,0.89
brighten,0.76
brightens,0.771
brighter,0.918
brightness,0.938
brilliance,0.99
brilliant,0.939
brimming,0.656
bring,0.635
brisk,0.719
brisket,0.552
bro,0.794
broad,0.762
broadcast,0.615
broadcasting,0.542
broaden,0.678
brocade,0.5
brochure,0.552
broil,0.51
broker,0.582
bronco,0.5
bronze,0.622
brooch,0.531
brood,0.633
brook,0.594
broth,0.5
brother,0.823
brotherhood,0.99
brotherly,0.865
brow,0.562
brownstone,0.559
browse,0.635
brunette,0.802
bubble,0.774
bubbling,0.5
bubbly,0.698
buck,0.677
buddha,0.69
buddhism,0.51
buddhist,0.57
buddy,0.884
budge,0.719
budget,0.643
buff,0.561
buffer,0.52
buffet,0.656
bugged,0.561
buggy,0.5
bugler,0.542
build,0.771
builder,0.66
building,0.705
buildings,0.582
bulb,0.562
bull,0.521
bulletin,0.573
bulletproof,0.75
bullhorn,0.51
bullion,0.693
bulwark,0.551
bunch,0.552
bundle,0.51
bungalow,0.562
bungee,0.637
bunny,0.74
buoy,0.562
buoyancy,0.625
buoyant,0.625
bureau,0.562
burger,0.688
burly,0.562
burnished,0.52
burrito,0.688
bursary,0.729
busboy,0.51
bushy,0.562
business,0.688
business man,0.53
businessman,0.653
businesswoman,0.719
busload,0.561
bust,0.52
butcher,0.5
butter,0.65
buttercup,0.562
butterfly,0.892
buttermilk,0.633
butterscotch,0.708
buttery,0.625
button,0.52
buxom,0.562
buy,0.771
buyer,0.613
buying,0.665
buzzed,0.583
buzzer,0.549
byzantine,0.546
cabal,0.5
cabana,0.698
cabaret,0.677
cabbie,0.521
cabernet,0.543
cabin,0.643
cabinet,0.552
cable,0.583
caboodle,0.529
cabriolet,0.667
cache,0.552
caddie,0.521
caddy,0.58
cadet,0.504
cafe,0.781
cafeteria,0.757
caffeine,0.562
cagey,0.542
cake,0.81
cakewalk,0.719
calamari,0.521
calcium,0.6
calculated,0.633
calculation,0.646
calculator,0.513
calender,0.531
calf,0.531
calibrate,0.552
calisthenics,0.562
call,0.594
callback,0.524
caller,0.646
calligraphy,0.62
calling,0.646
calls,0.608
calm,0.875
calming,0.885
calmness,0.934
camaraderie,0.833
camcorder,0.556
camel,0.54
cameo,0.573
camera,0.64
cameraman,0.542
camp,0.622
campaign,0.602
campaigner,0.592
campaigning,0.531
camper,0.573
campfire,0.677
camping,0.653
campsite,0.68
campus,0.604
can,0.662
canal,0.673
canary,0.582
candid,0.667
candidate,0.596
candied,0.713
candle,0.602
candlelight,0.789
candles,0.615
candor,0.74
candy,0.93
canine,0.573
canister,0.553
cannon,0.529
canoe,0.542
canonical,0.542
canopy,0.615
cantaloupe,0.592
canteen,0.688
canterbury,0.582
cantina,0.646
canto,0.776
canton,0.542
canvas,0.719
canvass,0.675
cap,0.612
capability,0.833
capable,0.765
capacity,0.719
cape,0.531
caper,0.51
capital,0.52
capitalize,0.771
capitals,0.755
capitol,0.535
cappuccino,0.792
caps,0.51
capsule,0.583
captain,0.552
caption,0.814
captivate,0.698
captivating,0.895
car,0.776
caramel,0.901
carat,0.823
caravan,0.635
carbon,0.604
card,0.531
cardboard,0.5
cardigan,0.599
cardinal,0.583
cards,0.568
care,0.729
career,0.74
carefree,0.755
careful,0.625
carefully,0.698
caress,0.833
caret,0.656
caretaker,0.714
caribou,0.562
caricature,0.604
caring,0.635
carnation,0.653
carnival,0.927
carol,0.673
carols,0.847
carousel,0.704
carp,0.531
carpenter,0.521
carpentry,0.561
carpet,0.52
carpeting,0.542
carpool,0.625
carriage,0.65
carrier,0.533
carrot,0.5
carry,0.635
carrying,0.656
cart,0.52
carte,0.592
cartography,0.52
cartoon,0.867
carving,0.541
cascade,0.735
cash,0.867
cashier,0.615
cashmere,0.653
casino,0.542
casserole,0.57
cast,0.558
caste,0.51
caster,0.604
castle,0.68
castor,0.583
casual,0.643
casually,0.658
cat,0.667
catalog,0.561
catalogue,0.647
catalyst,0.604
catalytic,0.562
catamaran,0.571
catch,0.531
catcher,0.653
catchphrase,0.698
catchy,0.677
catechism,0.656
categorical,0.615
category,0.571
cater,0.802
caterer,0.55
cathedral,0.598
catholic,0.646
cattle,0.622
catwalk,0.698
caudal,0.5
cauldron,0.51
causal,0.562
causality,0.5
causation,0.562
caution,0.552
cautionary,0.51
cautiously,0.51
cavalier,0.735
cavalry,0.667
caviar,0.906
cayenne,0.615
ceasefire,0.542
cedar,0.56
ceiling,0.52
celebrant,0.865
celebrate,0.917
celebrated,0.875
celebrating,0.927
celebration,0.939
celebrations,0.958
celebratory,0.857
celebrity,0.76
celestial,0.817
cell,0.541
cellar,0.51
cellist,0.667
cello,0.635
cellophane,0.648
cellular,0.643
cement,0.544
centenary,0.604
centennial,0.583
center,0.643
centerfold,0.571
centerpiece,0.594
central,0.64
centrality,0.571
centralization,0.521
centralize,0.684
centrally,0.729
centurion,0.59
ceramic,0.521
ceramics,0.573
cereal,0.612
cereals,0.719
ceremonial,0.771
ceremony,0.76
certain,0.76
certainty,0.781
certifiable,0.714
certificate,0.786
certified,0.781
certify,0.866
cha cha,0.714
chai,0.5
chair,0.562
chairman,0.656
chairperson,0.73
chairwoman,0.719
chalet,0.653
chalice,0.633
chamber,0.583
chambermaid,0.594
chambers,0.542
champ,0.854
champagne,0.76
champion,0.89
championship,0.833
chance,0.833
chancellor,0.646
chandelier,0.615
chandler,0.51
change,0.625
changed,0.594
changer,0.583
changing,0.571
chant,0.771
chap,0.55
chapel,0.573
chaperon,0.5
chaplain,0.582
chapman,0.562
chapter,0.58
char,0.554
character,0.667
characteristic,0.583
characterize,0.729
chardonnay,0.677
charge,0.51
chargeable,0.551
charger,0.531
chariot,0.684
charisma,0.938
charismatic,0.938
charitable,0.865
charity,0.92
charm,0.833
charmed,0.938
charmer,0.882
charming,0.917
charter,0.677
chartered,0.569
chat,0.729
chateau,0.615
chatter,0.56
chatty,0.594
chauffeur,0.5
cheap,0.612
check,0.523
checkbook,0.552
checkers,0.676
checklist,0.561
checkmate,0.667
checkout,0.597
checkpoint,0.571
checkup,0.5
cheek,0.67
cheeks,0.708
cheer,0.938
cheered,0.875
cheerful,0.99
cheerfulness,0.969
cheering,0.815
cheerleader,0.923
cheerleading,0.698
cheers,0.948
cheery,0.949
cheese,0.74
cheeseburger,0.802
cheesecake,0.86
chef,0.854
chemise,0.53
chemistry,0.625
cheque,0.698
cherish,0.896
cherishing,0.836
cherry,0.688
cherub,0.663
chess,0.656
chest,0.52
chestnut,0.714
chew,0.52
chewy,0.625
chic,0.87
chick,0.771
chicken,0.594
chief,0.52
chiefly,0.6
child,0.912
childbirth,0.604
childhood,0.865
childish,0.573
childlike,0.656
children,0.857
chili,0.592
chill,0.837
chilled,0.521
chime,0.573
chimes,0.625
chimney,0.583
chimpanzee,0.5
chin,0.571
china,0.561
chine,0.561
chipmunk,0.573
chirping,0.5
chitchat,0.673
chivalry,0.857
chocolate,0.885
choice,0.745
choir,0.704
choose,0.615
choosing,0.719
chopper,0.594
chopping,0.56
chops,0.612
choral,0.852
chord,0.729
chords,0.639
choreographer,0.646
choreography,0.812
chorus,0.62
chosen,0.865
chow,0.573
chowder,0.51
christ,0.781
christen,0.673
christening,0.725
christian,0.76
christmas,0.959
christmasbreak,0.842
christmaseve,0.812
christmasspirit,0.867
christmassy,0.875
christmastime,0.837
chrome,0.582
chromosome,0.5
chronograph,0.5
chronological,0.594
chubby,0.531
chuck,0.542
chuckle,0.844
chum,0.911
chummy,0.76
chunky,0.52
church,0.708
chute,0.58
ciao,0.542
cider,0.53
cinema,0.698
cinematic,0.663
cinematographer,0.792
cinematography,0.781
cinnamon,0.6
circling,0.51
circuit,0.586
circuitry,0.596
circular,0.562
circulate,0.612
circulation,0.735
circulatory,0.592
circumferential,0.551
circumstance,0.52
circumstances,0.562
circumstantial,0.5
circumvention,0.531
circus,0.724
cirque,0.604
cistern,0.541
citadel,0.585
citation,0.57
cite,0.625
citizen,0.631
citizenship,0.786
city,0.847
citywide,0.592
civic,0.653
civics,0.7
civil,0.521
civilian,0.7
civility,0.76
civilization,0.823
civilized,0.792
clad,0.583
clairvoyant,0.765
clambake,0.542
clamp,0.541
clan,0.562
clap,0.779
clapper,0.5
clapping,0.823
clarification,0.802
clarify,0.652
clarinet,0.592
clarion,0.5
clarity,0.796
class,0.656
classic,0.69
classic rock,0.729
classical,0.643
classics,0.75
classification,0.583
classified,0.571
classify,0.646
classmate,0.781
classroom,0.539
classy,0.917
clay,0.542
clean,0.827
cleaner,0.604
cleaning,0.595
cleanliness,0.816
cleanly,0.823
cleanse,0.625
cleanser,0.604
cleansing,0.729
cleanup,0.729
clear,0.857
clearance,0.542
clearing,0.68
clearness,0.875
